Datetime,Water Level (m)
2024-08-02 00:00:00,1.793709
2024-08-02 01:00:00,1.9030411
2024-08-02 02:00:00,1.9800066
2024-08-02 03:00:00,2.0356007
2024-08-02 04:00:00,2.0900333
2024-08-02 05:00:00,2.1425638
2024-08-02 06:00:00,2.1914825
2024-08-02 07:00:00,2.242423
2024-08-02 08:00:00,2.2978165
2024-08-02 09:00:00,2.3743124
2024-08-02 10:00:00,2.4867084
2024-08-02 11:00:00,2.6292808
2024-08-02 12:00:00,2.765785
2024-08-02 13:00:00,2.8764796
2024-08-02 14:00:00,2.9416308
2024-08-02 15:00:00,2.9805605
2024-08-02 16:00:00,3.0142639
2024-08-02 17:00:00,3.0423164
2024-08-02 18:00:00,3.062624
2024-08-02 19:00:00,3.0854137
2024-08-02 20:00:00,3.1041958
2024-08-02 21:00:00,3.1229284
2024-08-02 22:00:00,3.1484067
2024-08-02 23:00:00,3.1914008
2024-08-03 00:00:00,3.2512221
2024-08-03 01:00:00,3.3010397
2024-08-03 02:00:00,3.341423
2024-08-03 03:00:00,3.3665197
2024-08-03 04:00:00,3.385556
2024-08-03 05:00:00,3.3997097
2024-08-03 06:00:00,3.4104338
2024-08-03 07:00:00,3.4166422
2024-08-03 08:00:00,3.422284
2024-08-03 09:00:00,3.4305868
2024-08-03 10:00:00,3.440203
2024-08-03 11:00:00,3.4949074
2024-08-03 12:00:00,3.5650194
2024-08-03 13:00:00,3.6328595
2024-08-03 14:00:00,3.6695967
2024-08-03 15:00:00,3.683326
2024-08-03 16:00:00,3.6876113
2024-08-03 17:00:00,3.6876504
2024-08-03 18:00:00,3.6849632
2024-08-03 19:00:00,3.6780963
2024-08-03 20:00:00,3.668374
2024-08-03 21:00:00,3.6578526
2024-08-03 22:00:00,3.647819
2024-08-03 23:00:00,3.6457567
2024-08-04 00:00:00,3.6621015
2024-08-04 01:00:00,3.6905212
2024-08-04 02:00:00,3.7116497
2024-08-04 03:00:00,3.7218976
2024-08-04 04:00:00,3.7252843
2024-08-04 05:00:00,3.7235148
2024-08-04 06:00:00,3.718373
2024-08-04 07:00:00,3.7100859
2024-08-04 08:00:00,3.6995134
2024-08-04 09:00:00,3.6883805
2024-08-04 10:00:00,3.6805956
2024-08-04 11:00:00,3.6879833
2024-08-04 12:00:00,3.7200136
2024-08-04 13:00:00,3.768449
2024-08-04 14:00:00,3.8073707
2024-08-04 15:00:00,3.8264008
2024-08-04 16:00:00,3.8282237
2024-08-04 17:00:00,3.8253586
2024-08-04 18:00:00,3.8176088
2024-08-04 19:00:00,3.805456
2024-08-04 20:00:00,3.7928674
2024-08-04 21:00:00,3.7781901
2024-08-04 22:00:00,3.762762
2024-08-04 23:00:00,3.7491188
2024-08-05 00:00:00,3.748816
2024-08-05 01:00:00,3.7672405
2024-08-05 02:00:00,3.7900515
2024-08-05 03:00:00,3.8024526
2024-08-05 04:00:00,3.8041346
2024-08-05 05:00:00,3.800044
2024-08-05 06:00:00,3.7927399
2024-08-05 07:00:00,3.7827342
2024-08-05 08:00:00,3.7706208
2024-08-05 09:00:00,3.757376
2024-08-05 10:00:00,3.7446525
2024-08-05 11:00:00,3.737046
2024-08-05 12:00:00,3.748921
2024-08-05 13:00:00,3.7850258
2024-08-05 14:00:00,3.8294075
2024-08-05 15:00:00,3.8565197
2024-08-05 16:00:00,3.8621557
2024-08-05 17:00:00,3.8586032
2024-08-05 18:00:00,3.8511636
2024-08-05 19:00:00,3.840242
2024-08-05 20:00:00,3.8272989
2024-08-05 21:00:00,3.8133833
2024-08-05 22:00:00,3.7973523
2024-08-05 23:00:00,3.7815273
2024-08-06 00:00:00,3.7734294
2024-08-06 01:00:00,3.783741
2024-08-06 02:00:00,3.8076513
2024-08-06 03:00:00,3.8271003
2024-08-06 04:00:00,3.8340616
2024-08-06 05:00:00,3.832869
2024-08-06 06:00:00,3.82609
2024-08-06 07:00:00,3.815198
2024-08-06 08:00:00,3.8016393
2024-08-06 09:00:00,3.7879522
2024-08-06 10:00:00,3.7744172
2024-08-06 11:00:00,3.7621691
2024-08-06 12:00:00,3.7603276
2024-08-06 13:00:00,3.781925
2024-08-06 14:00:00,3.8238556
2024-08-06 15:00:00,3.8611016
2024-08-06 16:00:00,3.8748448
2024-08-06 17:00:00,3.8759725
2024-08-06 18:00:00,3.871069
2024-08-06 19:00:00,3.8612704
2024-08-06 20:00:00,3.8477936
2024-08-06 21:00:00,3.8325775
2024-08-06 22:00:00,3.816074
2024-08-06 23:00:00,3.7989678
2024-08-07 00:00:00,3.7850232
2024-08-07 01:00:00,3.7852995
2024-08-07 02:00:00,3.805871
2024-08-07 03:00:00,3.831904
2024-08-07 04:00:00,3.8452513
2024-08-07 05:00:00,3.846186
2024-08-07 06:00:00,3.8409038
2024-08-07 07:00:00,3.832437
2024-08-07 08:00:00,3.8223853
2024-08-07 09:00:00,3.8098948
2024-08-07 10:00:00,3.795181
2024-08-07 11:00:00,3.7799346
2024-08-07 12:00:00,3.7710383
2024-08-07 13:00:00,3.785367
2024-08-07 14:00:00,3.8267949
2024-08-07 15:00:00,3.8764749
2024-08-07 16:00:00,3.9038265
2024-08-07 17:00:00,3.9083567
2024-08-07 18:00:00,3.9042966
2024-08-07 19:00:00,3.8948638
2024-08-07 20:00:00,3.8811269
2024-08-07 21:00:00,3.864944
2024-08-07 22:00:00,3.8466487
2024-08-07 23:00:00,3.8277194
2024-08-08 00:00:00,3.8103826
